	muscle DV	muscle body 1	muscle body 2	muscle genital	muscle pharynx
SMED30023573	0.005050077	0.3407911	1.2417752	0.032046635	0.0
SMED30008639	0.00824678	0.35772997	1.2899942	0.006670083	0.0
SMED30025723	0.0037210379	0.09603286	0.3399693	0.010275137	0.001441879
SMED30016686	0.004528269	0.013964905	1.1808972	0.007630014	0.0055487156
SMED30019740	0.0024342798	0.32750896	0.010533275	0.140393	0.049582154
SMED30002349	0.4276744	0.0	0.004709354	0.003408013	0.11868301
SMED30002616	1.4731374	0.013957929	0.089938894	0.017666832	0.0344587
SMED30022812	0.068113215	0.12297298	0.5926759	1.8296508	0.31547916
SMED30017714	0.10354043	0.009745193	0.03143746	0.8727045	2.7834
SMED30019102	0.067302264	1.0158564	0.0	0.0	0.0
SMED30018614	0.17730168	0.7949771	0.038247507	0.011172459	0.0
SMED30026932	0.020869214	1.3238821	0.008179529	1.1209396	0.12660766
SMED30018309	0.0024412803	0.87436134	0.007635246	0.008217725	0.38885808
SMED30017664	0.004796135	0.29209247	1.0116466	0.10563129	0.01596715
SMED30018205	0.0064269095	0.3686892	1.0936378	0.089408204	0.27191395
SMED30015232	0.17111185	0.07803084	1.1177919	0.41961125	0.042819038
SMED30024125	0.0067750467	0.2051147	0.99026	0.08671181	0.2775369
SMED30024778	0.9041237	0.0025498306	0.011689054	0.96841186	0.10405981
SMED30028312	0.88597375	0.011276432	0.026652452	0.007350502	0.056677125
SMED30028043	0.6002165	0.006937776	0.010152578	0.0	0.014441278
SMED30015191	0.44181627	0.0050873756	0.009061812	0.007262019	0.0
SMED30015345	0.0	0.0	0.0	0.87316346	0.033419356
SMED30004154	0.0050461115	0.005341355	0.0	0.5356573	0.0067184735
SMED30025680	0.0759967	0.028886551	0.09905009	0.2828598	0.8406474
SMED30004868	0.007655735	0.0058593345	0.0	0.021064065	0.89286315
